appointment_id,date,ward,room_id,doctor_id,duration_minutes,source
SIM-0001,2026-08-01,General medicine,R01-1,D01-1,33.71,simulated
SIM-0002,2026-08-01,General medicine,R01-1,D01-2,27.65,simulated
SIM-0003,2026-08-01,General medicine,R01-2,D01-1,24.78,simulated
SIM-0004,2026-08-01,General medicine,R01-2,D01-2,19.4,simulated
SIM-0005,2026-08-01,Pediatrics,R02-1,D02-1,26.74,simulated
SIM-0006,2026-08-01,Pediatrics,R02-1,D02-2,16.01,simulated
SIM-0007,2026-08-01,Pediatrics,R02-2,D02-1,35.66,simulated
SIM-0008,2026-08-01,Pediatrics,R02-2,D02-2,28.47,simulated
SIM-0009,2026-08-01,Orthopedics,R03-1,D03-1,37.57,simulated
SIM-0010,2026-08-01,Orthopedics,R03-1,D03-2,43.23,simulated
SIM-0011,2026-08-01,Orthopedics,R03-2,D03-1,24.46,simulated
SIM-0012,2026-08-01,Orthopedics,R03-2,D03-2,34.33,simulated
SIM-0013,2026-08-01,Ophthalmology,R04-1,D04-1,17.31,simulated
SIM-0014,2026-08-01,Ophthalmology,R04-1,D04-2,25.22,simulated
SIM-0015,2026-08-01,Ophthalmology,R04-2,D04-1,27.52,simulated
SIM-0016,2026-08-01,Ophthalmology,R04-2,D04-2,31.97,simulated
SIM-0017,2026-08-02,General medicine,R01-1,D01-1,34.49,simulated
SIM-0018,2026-08-02,General medicine,R01-1,D01-2,30.62,simulated
SIM-0019,2026-08-02,General medicine,R01-2,D01-1,25.08,simulated
SIM-0020,2026-08-02,General medicine,R01-2,D01-2,17.79,simulated
SIM-0021,2026-08-02,Pediatrics,R02-1,D02-1,28.06,simulated
SIM-0022,2026-08-02,Pediatrics,R02-1,D02-2,16.09,simulated
SIM-0023,2026-08-02,Pediatrics,R02-2,D02-1,34.38,simulated
SIM-0024,2026-08-02,Pediatrics,R02-2,D02-2,29.98,simulated
SIM-0025,2026-08-02,Orthopedics,R03-1,D03-1,39.75,simulated
SIM-0026,2026-08-02,Orthopedics,R03-1,D03-2,42.52,simulated
SIM-0027,2026-08-02,Orthopedics,R03-2,D03-1,24.75,simulated
SIM-0028,2026-08-02,Orthopedics,R03-2,D03-2,32.5,simulated
SIM-0029,2026-08-02,Ophthalmology,R04-1,D04-1,17.56,simulated
SIM-0030,2026-08-02,Ophthalmology,R04-1,D04-2,22.77,simulated
SIM-0031,2026-08-02,Ophthalmology,R04-2,D04-1,30.14,simulated
SIM-0032,2026-08-02,Ophthalmology,R04-2,D04-2,30.97,simulated
SIM-0033,2026-08-03,General medicine,R01-1,D01-1,28.76,simulated
SIM-0034,2026-08-03,General medicine,R01-1,D01-2,26.79,simulated
